"Material","technology","AIC","Distribution"
"Nickel","Biomass",NA,"norm"
"Manganese ","Biomass",NA,"norm"
"Copper","Biomass",NA,"norm"
"Steel","Biomass",NA,"norm"
"Cement","Biomass",NA,"norm"
"Aluminum","Biomass",NA,"norm"
"Copper","utility-scale solar pv",NA,"norm"
"Aluminum","utility-scale solar pv",NA,"norm"
"Silicon","utility-scale solar pv",NA,"norm"
"Lead","utility-scale solar pv",NA,"norm"
"Nickel","utility-scale solar pv",NA,"norm"
"Glass","utility-scale solar pv",NA,"norm"
"Steel","utility-scale solar pv",NA,"norm"
"Cement","utility-scale solar pv",NA,"norm"
"Magnesium","utility-scale solar pv",NA,"norm"
"Tin","utility-scale solar pv",NA,"norm"
"Steel","CSP",NA,"norm"
"Nickel","CSP",NA,"norm"
"Manganese ","CSP",NA,"norm"
"Glass","CSP",NA,"norm"
"Copper","CSP",NA,"norm"
"Cement","CSP",NA,"norm"
"Aluminum","CSP",NA,"norm"
"Silver","CSP",NA,"norm"
"Steel","Geothermal",NA,"norm"
"Copper","Geothermal",NA,"norm"
"Cement","Geothermal",NA,"norm"
"Aluminum","Geothermal",NA,"norm"
"Copper","Hydro",NA,"norm"
"Steel","Hydro",NA,"norm"
"Cement","Hydro",NA,"norm"
"Aluminum","Hydro",NA,"norm"
"Steel","Nuclear New",NA,"norm"
"Cement","Nuclear New",NA,"norm"
"Nickel","Nuclear New",NA,"norm"
"Manganese ","Nuclear New",NA,"norm"
"Copper","Nuclear New",NA,"norm"
"Aluminum","Nuclear New",NA,"norm"
"Silver","Nuclear New",NA,"norm"
"Aluminum","Wind Offshore",NA,"norm"
"Steel","Wind Offshore",NA,"norm"
"Dysprosium","Wind Offshore",NA,"norm"
"Lead","Wind Offshore",NA,"norm"
"Nickel","Wind Offshore",NA,"norm"
"Chromium","Wind Offshore",NA,"norm"
"Molybdenum","Wind Offshore",NA,"norm"
"Niobium","Wind Offshore",NA,"norm"
"Praseodymium","Wind Offshore",NA,"norm"
"Terbium","Wind Offshore",NA,"norm"
"Vanadium","Wind Offshore",NA,"norm"
"Boron","Wind Offshore",NA,"norm"
"Fiberglass","Wind Offshore",NA,"norm"
"Cement","Wind Offshore",NA,"norm"
"Neodymium ","Wind Offshore",NA,"norm"
"Nickel","onshore wind",NA,"norm"
"Lead","onshore wind",NA,"norm"
"Chromium","onshore wind",NA,"norm"
"Praseodymium","onshore wind",NA,"norm"
"Molybdenum","onshore wind",NA,"norm"
"Niobium","onshore wind",NA,"norm"
"Terbium","onshore wind",NA,"norm"
"Vanadium","onshore wind",NA,"norm"
"Boron","onshore wind",NA,"norm"
"Manganese","onshore wind",NA,"norm"
"Zinc","onshore wind",NA,"norm"
"Fiberglass","onshore wind",NA,"norm"
"Cement","onshore wind",NA,"norm"
"Neodymium ","onshore wind",NA,"norm"
"Yttrium","onshore wind",NA,"norm"
"Silver","utility-scale solar pv",267.288081871577,"gamma"
"Copper","Wind Offshore",941.629594097686,"weibull"
"Neodymium","Wind Offshore",431.193318734532,"norm"
"Aluminum","onshore wind",657.714064761719,"weibull"
"Copper","onshore wind",1846.40978374333,"weibull"
"Steel","onshore wind",1115.66043476954,"norm"
"Neodymium","onshore wind",566.284435874681,"weibull"
"Dysprosium","onshore wind",339.642996021333,"weibull"
